NAME,YEAR,LEVEL,GRADE,MIDTERM,FINAL
Madison,Sophomore,1,A,90,95
Amy,Sophomore,1,B-,83,79
Sean,Sophomore,3,B,82,90
Adam,Freshman,1,A,97,91
Harper,Sophomore,3,B+,79,94
David,Junior,3,A,89,96
Signe,Freshman,1,B+,92,83
Sarah,Senior,5,C+,73,81
Elizabeth,Sophomore,1,A,89,97
Dominic,Freshman,1,B,78,87
Justin,Junior,3,B,84,86
Ann,Senior,5,A,87,98
Cecelia,Senior,5,A,88,99
Shane,Junior,3,B,77,89
Amanda,Senior,1,B+,84,91
Chris,Senior,5,A,89,97
Devin,Sophmore,3,C-,63,79
Stacy,Junior,3,C+,69,82
Antoine,Sophomore,1,A,89,95
Louis,Freshman,1,A-,91,92
Leah,Freshman,1,B,84,86
Ryan,Freshman,1,B+,85,89
Mark,Senior,5,B,80,91
Summer,Freshman,1,A,91,96
Jared,Freshman,1,B,87,84
Charles,Junior,3,C+,64,89
Hayli,Sophomore,3,B-,78,84
Hannah,Sophomore,3,B+,88,87
Skylar,Freshman,1,A-,89,93
Claire,Sophomore,1,C,66,86
Matthew,Senior,3,A-,89,93
Emily,Sophomore,3,B,81,89
Sandy,Freshman,1,B-,82,79
Mo,Freshman,1,B,78,89
Caitlyn,Senior,5,A-,90,92
Kevin,Senior,5,A,95,96
